AphiaID,Phylum,Class,_Order,Family,Genus,sr_Less_than_10,sr_11_to_20,sr_21_to_100,sr_101_to_200,sr_201_to_500,sr_More_than_500,m_Soft,m_Tunic,m_Exoskeleton,m_Crustose,m_Cushion,m_Stalked,l_Less_than_1,l_1_to_3,l_3_to_10,l_More_than_10,ed_Asexual,ed_Sexual_pelagic,ed_Sexual_benthic,ed_Sexual_brooded,ld_Pelagic_planktotrophic,ld_Pelagic_lecithotrophic,ld_Benthic_direct,lh_Tube_dwelling,lh_Burrow_dwelling,lh_Free_living,lh_Crevice_hole_under_stones,lh_Epi_endo_biotic,lh_Attached_to_substratum,sp_Surface,sp_Shallow_infauna_0_to_5cm,sp_Mid_depth_infauna_5_to_10cm,sp_Deep_infauna_more_than_10cm,f_Suspension,f_Surface_deposit,f_Subsurface_deposit,f_Scavenger,f_Predator,f_Parasite,mob_Sessile,mob_Swim,mob_Crawl_creep_climb,mob_Burrower,b_Diffusive_mixing,b_Surface_deposition,b_Upward_conveyor,b_Downward_conveyer,b_None
129336,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineriopsis,0,3,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,1,3,0,3,0,0,1,1,1,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0
129337,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,0,0,1,1,1,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,1,3,3,3,0,1,3,1,3,0,1,1,2,2,0,0,0,0,3,3,0,0,0,0
129340,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,1,3,0,3,0,0,1,1,1,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0
967,Annelida,Polychaeta,Eunicida,Lumbrineridae,,0,1,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,1,1,0,1,1,1,1,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0
129199,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,3,3,0,1,1,1,3,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0
129200,Annelida,Polychaeta,Eunicida,Oenonidae,Drilonereis,0,0,0,3,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,0,3,0,2,1,1,1,0,1,0,2,2,3,0,0,0,3,3,0,0,0,0
129203,Annelida,Polychaeta,Eunicida,Oenonidae,Notocirrus,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0
22610,Annelida,Polychaeta,Eunicida,Oenonidae,,0,0,1,1,1,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,2,0,0,0,0
129397,Annelida,Polychaeta,Eunicida,Onuphidae,Aponuphis,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,3,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,1,1,0,1,0,0,0
129400,Annelida,Polychaeta,Eunicida,Onuphidae,Hyalinoecia,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,3,0,0,0,0,2,0,2,3,0,0,0,3,0,0,1,0,0,0
129402,Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,3,0,0,0,3,0,0,0,0,2,0,2,2,0,0,0,3,0,0,1,0,0,0
129405,Annelida,Polychaeta,Eunicida,Onuphidae,Paradiopatra,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,0,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,1,1,0,1,0,0,0
965,Annelida,Polychaeta,Eunicida,Onuphidae,,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,0,2,2,0,0,0,1,1,0,1,0,0,0
129136,Annelida,Polychaeta,Phyllodocida,Acoetidae,Panthalis,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,0
129194,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,0
129196,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Laetmonice,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,3,1,1,1,0,0,0
938,Annelida,Polychaeta,Phyllodocida,Aphroditidae,,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
129296,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,0,0,1,1,1,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,1,1,1,0,1,0,3,3,0,0,0,0,3,3,0,0,0,0
129299,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0
129300,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,1,3,1,0,0,0,3,3,0,0,1,0,3,3,0,0,0,0
129301,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniadella,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0
953,Annelida,Polychaeta,Phyllodocida,Goniadidae,,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,0,0,0,3,3,0,0,1,0,3,3,0,0,0,0
129307,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0
129310,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesiospina,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
743513,Annelida,Polychaeta,Phyllodocida,Hesionidae,Neogyptis,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0
129314,Annelida,Polychaeta,Phyllodocida,Hesionidae,Nereimyra,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,3,0,3,3,3,0,1,0,0,0,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0
173457,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0
129319,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0
152248,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,3,3,3,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
129320,Annelida,Polychaeta,Phyllodocida,Hesionidae,Syllidia,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
946,Annelida,Polychaeta,Phyllodocida,Hesionidae,,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,2,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
129324,Annelida,Polychaeta,Phyllodocida,Lacydoniidae,Lacydonia,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0
129313,Annelida,Polychaeta,Phyllodocida,Microphthalmidae,Microphthalmus,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0
129366,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0
129370,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,3,3,0,0,3,0,3,3,0,0,0,0
234848,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,3,3,3,3,0,3,3,3,3,0,0,3,3,3,3,0,0,3,0
129371,Annelida,Polychaeta,Phyllodocida,Nereididae,Ceratocephale,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
129373,Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,1,1,1,0,3,0,0,0,0,0,1,1,1,1,0,0,1,0
146968,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,0,0,3,0
129378,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,3,3,3,0,0,0,1,1,1,1,1,3,0,3,3,0,0,1,3,3,3,0,0,1,0
129379,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,3,3,0,0,1,3,3,1,1,0,1,0
129381,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3,3,0,1,0,0,3,0,0,0,0,0,0,2,3,0,0,3,3,3,0,0,1,0,1,1,1,0,0,1,0
129385,Annelida,Polychaeta,Phyllodocida,Nereididae,Websterinereis,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,3,0,0,0,3,0,1,1,1,1,0,3,0,3,3,0,0,0,1,1,1,0,0,1,0
22496,Annelida,Polychaeta,Phyllodocida,Nereididae,,0,0,1,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
129442,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Chaetoparia,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129443,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,3,0,0,1,3,3,3,1,0,0,0
129445,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129446,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,3,1,1,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129448,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hesionura,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
146983,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hypereteone,0,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
147025,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Mysta,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,1,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129450,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Mystides,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129451,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129452,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Notophyllum,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129453,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Paranaitis,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129455,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,0,0,1,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,3,1,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,1,0,0,0
129457,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pseudomystides,1,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
129458,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pterocirrus,0,3,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0
931,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,1,1,1,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,3,1,0,0,0,0,0,3,3,0,0,0,1,0,1,1,0,0,0
129463,Annelida,Polychaeta,Phyllodocida,Pilargidae,Glyphohesione,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0
129474,Annelida,Polychaeta,Phyllodocida,Polynoidae,Acholoe,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,3,0,1,0,0,0
129476,Annelida,Polychaeta,Phyllodocida,Polynoidae,Alentia,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
129483,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bylgides,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
129485,Annelida,Polychaeta,Phyllodocida,Polynoidae,Enipo,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,1,0,3,0,0,0
129487,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eunoe,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
129488,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,0,0
129491,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
129495,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidasthenia,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,3,3,0,0,0,1,0,0,1,0,0,0
129496,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,3,0,1,0,2,0,0,0,0,3,0,3,3,0,0,0,1,0,0,1,0,0,0
147006,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,0,0
129499,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,0,0
129506,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polynoe,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
129509,Annelida,Polychaeta,Phyllodocida,Polynoidae,Subadyte,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
939,Annelida,Polychaeta,Phyllodocida,Polynoidae,,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,1,3,1,1,0,1,0,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,0,0
129588,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Fimbriosthenelais,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0
129593,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pelogenia,0,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,1,1,1,1,0,0,0
